what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1348181494813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181497831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181503181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181507900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181510498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181512153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181512965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181513059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181513662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181513923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181516055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181517103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181519943
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348181541536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181561347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181563169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181574494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181580479
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348181580488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181582169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181591834
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348181591842
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1348181594119
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1348181594135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348181604371
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1348181605279
started,bundle,org.eclipse.wb.core.ui,1.1.0.r37x201109091028,"org.eclipse.wb.core.ui",1348181619628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181644893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181647664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181652555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181663574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181674161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181684068
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348181684102
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348181687641
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1348181701070
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1348181707505
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1348181707882
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.ThreadView",1348181707982
activated,perspective,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.Perspective",1348181708084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1348181708218
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1348181708218
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1348181719578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181719719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348181846035
