what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1348607616206
java.vendor,sysinfo,,,"Oracle Corporation",1348607616206
java.version,sysinfo,,,"1.7.0_02",1348607616206
java.vm.info,sysinfo,,,"mixed mode",1348607616206
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348607616206
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348607616206
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348607616206
java.vm.specification.version,sysinfo,,,"1.7",1348607616206
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348607616206
java.vm.version,sysinfo,,,"22.0-b10",1348607616206
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1348607617265
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1348607617935
